نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,غير معروف,الرياض,ضاحية نمار,غربية,2025,6200.0,12555000
أرض,غير معروف,الرياض,النرجس,شرقية,520,5300.0,2756000
أرض,سكني,الرياض,النرجس,شرقية,525,4800.0,2520000
أرض,سكني,الرياض,النرجس,شرقية,525,4700.0,2467500
أرض,سكني,الرياض,النرجس,شمالية,2061,4700.0,9686700
أرض,سكني,الرياض,الروضة,شمالية شرقية,608,4000.0,2432000
أرض,سكني,الرياض,الروضة,شرقية,543,4100.0,2226300
أرض,سكني,الرياض,المهدية,شمالية,600,2416.0,1449600
أرض,سكني,الرياض,الملك فيصل,شرقية,750,3350.0,2512500
أرض,سكني,الرياض,اليرموك,شمالية,300,3600.0,1080000
أرض,سكني,الرياض,المصانع,غير معروف,3157,3600.0,11365200
أرض,سكني,الرياض,المعيزلة,شمالية,437,2900.0,1267300
أرض,سكني,الرياض,الملك فيصل,شرقية,750,3350.0,2512500
أرض,سكني,الرياض,الملقا,شمالية,546,9000.0,4914000
أرض,سكني,الرياض,الرمال,جنوبية غربية,1930,2800.0,5404000
أرض,سكني,حريملاء,الرياض,جنوبية,625,3700.0,2312500
أرض,سكني,حريملاء,الرياض,شمالية غربية,414,9000.0,3726000
أرض,سكني,حريملاء,الرياض,جنوبية,630,9000.0,5670000
أرض,سكني,الرياض,النرجس,غربية,400,5000.0,2000000
أرض,سكني,الرياض,الرمال,غربية,600,3000.0,1800000
أرض,سكني,الرياض,الرياض,غير معروف,1225,2500.0,3062500
أرض,سكني,الرياض,الرياض,شرقية,2160,2500.0,5400000
أرض,سكني,الرياض,الياسمين,شمالية,910,19780.0,17999800
أرض,سكني,الرياض,ثليم,جنوبية غربية,333,19780.0,6586740
أرض,سكني,الرياض,غير معروف,شرقية,360,19780.0,7120800
أرض,سكني,الرياض,العليا,شمالية شرقية,1741,6000.0,10446000
أرض,سكني,الرياض,الرمال,غير معروف,1200,3400.0,4080000
أرض,سكني,الرياض,امارة منطقة الرياض,شمالية شرقية,2237,600.0,1342200
أرض,سكني,الرياض,امارة منطقة الرياض,شمالية غربية,2250,600.0,1350000
أرض,سكني,الرياض,امارة منطقة الرياض,شمالية غربية,2237,600.0,1342200
أرض,سكني,الرياض,امارة منطقة الرياض,شمالية,2250,600.0,1350000
